,inner_word_ngrams,inner_pos_ngrams,inner_average_sentence_length,inner_normalized_standard_deviation_of_sentence_length,inner_average_word_length,inner_normalized_standard_deviation_of_word_length,inner_average_syllables_per_word,inner_normalized_standard_deviation_of_syllables_per_word,inner_average_flesch_kincaid_reading_ease_score_per_sentence,inner_normalized_standard_deviation_of_flesch_kincaid_reading_ease_score_per_sentence,inner_average_gunning_fog_index_per_sentence,inner_normalized_standard_deviation_of_gunning_fog_index_per_sentence,external_Unnamed: 0,external_word_ngrams,external_pos_ngrams,external_average_sentence_length,external_normalized_standard_deviation_of_sentence_length,external_average_word_length,external_normalized_standard_deviation_of_word_length,external_average_syllables_per_word,external_normalized_standard_deviation_of_syllables_per_word,external_average_flesch_kincaid_reading_ease_score_per_sentence,external_normalized_standard_deviation_of_flesch_kincaid_reading_ease_score_per_sentence,external_average_gunning_fog_index_per_sentence,external_normalized_standard_deviation_of_gunning_fog_index_per_sentence,sentence_vector_similarity_max,sentence_vector_similarity_avg,external_file_name,result
0,0.060238511,0.104001257,32.49640288,0.527839271,4.332078813,0.547839347,1.275182643,0.499275855,60.6671223,0.374626969,15.14467626,0.463328739,0,3.18E-08,2.49E-05,0.126785528,0.000808854,0.000355563,8.86E-05,0.001829684,4.73E-05,0.105074109,0.00055941,0.024956094,0.000928144,1,0.880913782,ex_src_p10_00524.txt,0
1,0.059532337,0.105453977,33.78030303,0.525620755,4.664947298,0.56444571,1.39538013,0.54469954,48.14068182,0.481418484,17.53734848,0.423983998,0,2.14E-06,1.77E-05,0.00530303,0.00302737,0.000865946,8.47E-05,1.30E-05,0.000367888,0.318025568,0.000181058,0.002000628,5.15E-05,0.969790106,0.896643319,ex_src_p10_00524.txt,0
2,0.053315357,0.114253889,34,0.606637102,4.215759438,0.517715647,1.250658472,0.483765207,60.49104478,0.401666358,15.84992537,0.5507752,0,0.000695561,1.95E-05,0.059259259,0.001028954,0.001307765,9.61E-05,0.000168538,4.98E-05,0.058642179,0.000277118,0.025695542,0.000313048,1,0.895893882,ex_src_p10_00524.txt,0
3,0.060952936,0.106398599,24.23555556,0.633399527,4.437557308,0.557596957,1.302402347,0.500207874,68.9136,0.327022638,11.61137778,0.57597772,0,3.83E-06,1.48E-05,0.011019787,0.000351671,0.002057253,8.22E-05,0.000303235,0.000124133,0.040523077,0.000148759,0.007025926,0.000396181,1,0.872031637,ex_src_p10_00524.txt,0
4,0.058795767,0.116685443,28.32402235,0.570443663,4.580078895,0.587885866,1.421499014,0.567058899,56.21189944,0.508298968,15.06927374,0.489600239,0,4.41E-06,1.19E-05,0.033120511,0.000112614,0.000921766,0.000171858,1.68E-06,2.66E-05,0.010681204,0.000453571,0.040476257,0.000702399,1,0.905713682,ex_src_p10_00524.txt,0
5,0.060066585,0.120656939,32.84615385,0.635112513,4.555620609,0.546851352,1.366705699,0.516972341,53.42282051,0.551205117,16.56525641,0.545281632,0,3.01E-06,4.73E-05,0,0.00060597,0.000576637,0.000151135,0.000627485,1.00E-05,0.216210343,8.39E-05,0.053871107,9.79E-06,1,0.885211081,ex_src_p10_00524.txt,0
6,0.059162452,0.124283331,41.66949153,0.497366704,5.030913158,0.586532975,1.54931869,0.601573472,25.18398305,0.916053217,23.36830508,0.347981529,0,4.13E-06,7.71E-05,0.471078827,0.001794115,0.001765176,0.000146726,0.001944036,0.001466667,1.149674092,0.018459493,0.68309141,0.001282977,0.963028997,0.910308994,ex_src_p10_00524.txt,0
7,0.057962851,0.118027368,31.53179191,0.642445499,4.395967003,0.516874885,1.263428048,0.451932334,62.72809249,0.388001718,15.17815029,0.544300204,0,2.47E-06,5.38E-05,0.026937539,0.000413567,0.000125092,0.0001292,0.000105816,0.00041077,0.066452969,0.00013859,0.008517936,0.00011503,1,0.893365377,ex_src_p10_00524.txt,0
8,0.058558059,0.118645216,29.52247191,0.527766142,4.611798287,0.523021995,1.342530923,0.497412464,58.10011236,0.30857755,14.53162921,0.408693145,0,2.66E-06,3.64E-05,0.049645823,0.000881983,0.000845699,6.78E-08,1.12E-05,1.63E-05,0.000509711,0.000115088,0.00347605,0.000379691,1,0.883849626,ex_src_p10_00524.txt,0
9,0.060359845,0.100454019,14.2890625,0.942297494,4.384909787,0.540061427,1.26426098,0.477877867,81.42567708,0.312532546,7.107630208,0.90116675,0,1.31E-06,1.63E-05,0.031752558,6.09E-05,0.000179133,2.73E-05,0.000270939,3.75E-05,0.079666154,0.000616474,0.012420906,0.000593028,1,0.843892784,ex_src_p10_00524.txt,0
