,inner_word_ngrams,inner_pos_ngrams,inner_average_sentence_length,inner_normalized_standard_deviation_of_sentence_length,inner_average_word_length,inner_normalized_standard_deviation_of_word_length,inner_average_syllables_per_word,inner_normalized_standard_deviation_of_syllables_per_word,inner_average_flesch_kincaid_reading_ease_score_per_sentence,inner_normalized_standard_deviation_of_flesch_kincaid_reading_ease_score_per_sentence,inner_average_gunning_fog_index_per_sentence,inner_normalized_standard_deviation_of_gunning_fog_index_per_sentence,external_Unnamed: 0,external_word_ngrams,external_pos_ngrams,external_average_sentence_length,external_normalized_standard_deviation_of_sentence_length,external_average_word_length,external_normalized_standard_deviation_of_word_length,external_average_syllables_per_word,external_normalized_standard_deviation_of_syllables_per_word,external_average_flesch_kincaid_reading_ease_score_per_sentence,external_normalized_standard_deviation_of_flesch_kincaid_reading_ease_score_per_sentence,external_average_gunning_fog_index_per_sentence,external_normalized_standard_deviation_of_gunning_fog_index_per_sentence,sentence_vector_similarity_max,sentence_vector_similarity_avg,external_file_name
0,0.061738411,0.115814255,16.29494382,0.886004407,4.882434063,0.605262827,1.487157387,0.59416471,62.39837079,0.612550299,10.83412921,0.823160618,0,1.70E-05,1.80E-06,0.020109383,0.000600694,0.002900849,0.000806246,0.000285499,0.000164243,0.001850208,0.00043649,0.006050396,8.61E-05,1,0.788090872,ex_src_p10_00524.txt
1,0.061444497,0.114258893,19.96969697,0.49249399,4.965667678,0.595134935,1.477617602,0.58575168,54.10784091,0.429357675,13.47522727,0.366932786,0,4.05E-06,2.45E-05,0.015151515,0.000699315,0.005069852,0.000194391,0.000990655,0.001091881,0.028166843,0.000104226,0.002664619,0.009219308,0.9575088,0.830454612,ex_src_p10_00524.txt
2,0.060248836,0.111744379,22.53571429,0.573773536,4.799722662,0.56790745,1.450475436,0.558068717,50.88276786,0.506329837,14.70571429,0.425520124,0,2.15E-06,2.64E-05,0.014524949,0.002666995,0.00071113,8.12E-05,0.000231903,3.77E-05,0.008681418,0.000151359,0.000482033,0.001587667,0.956659774,0.883699022,ex_src_p10_00524.txt
3,0.055218092,0.103427551,22.94605809,0.970762982,3.747739602,0.438854658,1.122061483,0.316765381,85.29365145,0.285889214,9.318381743,0.940751211,0,0.000165616,3.87E-06,0.012057092,0.001047027,0.003676837,0.002383371,0.003287304,0.025072096,0.266740193,0.000846213,0.003534581,0.002651877,1,0.840213643,ex_src_p10_00524.txt
4,0.061537823,0.097773159,9.300171527,1.038169881,4.807635559,0.586950772,1.41479159,0.549928097,60.38373928,0.864281536,9.489296741,1.093288573,0,7.06E-06,4.38E-06,0.236902622,0.000992613,0.000570173,0.000271072,0.00039773,2.46E-06,0.048663318,0.019026157,0.003281415,0.001734851,1,0.775438676,ex_src_p10_00524.txt
5,0.061405457,0.089193658,8.76,1.614561193,4.441146626,0.527854658,1.267884323,0.484107685,75.23962222,0.629478726,7.431622222,1.292190617,0,2.29E-05,9.47E-05,0.241834862,0.006706795,0.001532065,4.52E-05,0.000148852,0.000292669,0.006571375,0.000353413,0.004543275,0.009836236,1,0.822470783,ex_src_p10_00524.txt
6,0.05627624,0.112859094,24.61032864,0.722693188,4.634109119,0.547273833,1.375810759,0.529092701,65.95920188,0.495777445,12.79309859,0.655423516,0,2.17E-05,5.61E-06,0.023957076,5.96E-05,0.000199392,3.97E-05,0.000486084,0.000285988,0.066408582,0.00038129,0.006732869,1.44E-05,1,0.875505448,ex_src_p10_00524.txt
7,0.061812036,0.094760166,18.91855204,0.823789576,4.5388663,0.527011084,1.326476919,0.503008462,74.55393665,0.494972933,10.08081448,0.727383785,0,4.06E-05,4.90E-05,0.037129111,0.000343534,0.000296491,3.72E-05,9.59E-06,0.000439074,0.001063348,0.000117162,0.002705929,2.86E-05,1,0.838062158,ex_src_p10_00524.txt
8,0.061932364,0.097305388,19.73234201,0.706114298,4.541070083,0.554129022,1.316880181,0.521249656,69.56992565,0.35540072,10.74408922,0.63741394,0,7.97E-05,6.90E-05,0.028026656,0.000289928,0.001077211,0.000164445,0.000167852,1.59E-06,0.026504598,0.00036745,0.022499928,0.000900062,1,0.837548533,ex_src_p10_00524.txt
9,0.060608295,0.093083198,15.97741935,0.818609499,4.374924288,0.576112827,1.32525742,0.562765162,73.34329032,0.485293002,9.544193548,0.749751401,0,3.11E-06,0.000133819,0.022580645,0.000936359,0.000406914,0.000169378,0.000368531,0.000216335,0.035487292,0.000108571,0.009636586,0.000592119,1,0.829073725,ex_src_p10_00524.txt
