,inner_word_ngrams,inner_pos_ngrams,inner_average_sentence_length,inner_normalized_standard_deviation_of_sentence_length,inner_average_word_length,inner_normalized_standard_deviation_of_word_length,inner_average_syllables_per_word,inner_normalized_standard_deviation_of_syllables_per_word,inner_average_flesch_kincaid_reading_ease_score_per_sentence,inner_normalized_standard_deviation_of_flesch_kincaid_reading_ease_score_per_sentence,inner_average_gunning_fog_index_per_sentence,inner_normalized_standard_deviation_of_gunning_fog_index_per_sentence,external_Unnamed: 0,external_word_ngrams,external_pos_ngrams,external_average_sentence_length,external_normalized_standard_deviation_of_sentence_length,external_average_word_length,external_normalized_standard_deviation_of_word_length,external_average_syllables_per_word,external_normalized_standard_deviation_of_syllables_per_word,external_average_flesch_kincaid_reading_ease_score_per_sentence,external_normalized_standard_deviation_of_flesch_kincaid_reading_ease_score_per_sentence,external_average_gunning_fog_index_per_sentence,external_normalized_standard_deviation_of_gunning_fog_index_per_sentence,sentence_vector_similarity_max,sentence_vector_similarity_avg,external_file_name
0,0.060866186,0.110654202,24.32994924,0.676811423,4.257876069,0.5246152,1.230544544,0.462167684,74.48279188,0.294638815,10.72360406,0.65389445,0,2.42E-07,2.07E-05,0.000100023,0.000329571,0.000295066,1.00E-04,0.000239589,0.000184551,0.014395622,0.000751034,0.028436597,0.000143329,1,0.87624768,ex_src_p10_00524.txt
1,0.059710438,0.109266527,17.44615385,0.825080209,4.24973545,0.506037363,1.22010582,0.435288324,84.18550769,0.293837322,8.44,0.769200821,0,1.54E-06,1.16E-05,0.021859622,0.000176537,0.001542254,8.78E-05,2.98E-05,6.43E-05,0.026793039,0.000192642,0.003952703,0.000192847,1,0.852279105,ex_src_p10_00524.txt
2,0.060900782,0.113638279,25.25,0.479709927,4.818870122,0.525345432,1.374684527,0.509900155,58.58754902,0.323494138,13.58465686,0.410562577,0,5.17E-06,6.20E-05,0.034883721,0.007120801,0.003047686,3.22E-05,0.000270596,5.23E-05,0.012229871,0.000224966,0.020034495,0.001276034,0.993712113,0.870342112,ex_src_p10_00524.txt
3,0.059512788,0.103444461,14.95652174,1.017405523,4.303052326,0.556417919,1.307957849,0.50159202,81.60744565,0.377169778,7.605869565,0.907116442,0,1.27E-07,1.10E-05,0.006555184,3.46E-05,0.000712549,1.45E-05,0.000142346,9.60E-05,0.024659611,0.00025938,0.005806905,0.002483241,1,0.851144464,ex_src_p10_00524.txt
4,0.05915707,0.117304851,32.00699301,0.527613628,4.607821717,0.538699334,1.348481538,0.512632342,55.69503497,0.383454074,15.82902098,0.4369181,0,9.52E-06,1.79E-05,0.023752784,0.001034497,0.002363202,8.09E-06,6.25E-06,8.27E-05,0.193322636,0.001533417,0.046599936,0.003650111,1,0.886608456,ex_src_p10_00524.txt
5,0.058236049,0.11346555,20.13148789,0.758614732,4.135957374,0.522970055,1.242866965,0.455154027,79.21266436,0.284508043,9.33083045,0.724204208,0,3.81E-06,4.48E-05,0.011369254,0.000404971,0.000124275,5.20E-05,2.93E-05,4.99E-05,0.056900671,0.000142661,0.015983288,0.000438542,1,0.881180787,ex_src_p10_00524.txt
6,0.058363721,0.11596001,34.18954248,0.693246577,4.789141656,0.600739236,1.469699866,0.591628849,44.29986928,0.701022797,17.45620915,0.58614353,0,2.13E-06,4.71E-07,0.009175465,0.000605515,0.000211622,0.000187185,0.001940622,0.002371618,0.064905252,0.001999286,0.012180373,0.000147007,1,0.900315979,ex_src_p10_00524.txt
7,0.060102239,0.112742957,20.01992032,0.706240647,4.191840796,0.58557709,1.287761194,0.523063333,73.25665339,0.310526047,10.49207171,0.59520047,0,7.04E-07,1.31E-05,0.013140658,0.000416277,0.000745248,0.000134917,0.000312594,0.000106045,0.051149644,0.000245991,0.003426295,0.000117291,1,0.850327011,ex_src_p10_00524.txt
8,0.059469183,0.126333586,32.17816092,0.49741846,4.815145562,0.559692313,1.42793356,0.556745699,48.55637931,0.47079951,17.52896552,0.392235398,0,4.57E-06,5.02E-05,0.194920696,0.001742359,0.003842432,2.90E-05,0.000346522,0.000328588,0.082533156,3.73E-05,0.010383595,0.000698827,1,0.882961171,ex_src_p10_00524.txt
9,0.058175401,0.12076099,21.44549763,0.481285378,4.744530387,0.536097192,1.388508287,0.52088468,60.08184834,0.353699302,13.13516588,0.415814216,0,2.60E-05,8.52E-06,0.025613481,0.008175123,6.82E-05,0.000228259,4.26E-05,8.54E-05,0.046141349,0.000464239,0.002441485,0.003579357,1,0.857704059,ex_src_p10_00524.txt
